iter	Passed	Remaining
0	319	319584
1	322	161104
2	324	107937
3	326	81250
4	327	65138
5	328	54378
6	329	46692
7	330	40933
8	331	36462
9	332	32880
10	337	30324
11	338	27906
12	340	25849
13	341	24071
14	342	22516
15	343	21148
16	344	19937
17	345	18858
18	346	17891
19	347	17022
20	354	16507
21	357	15895
22	358	15244
23	359	14633
24	360	14072
25	361	13553
26	362	13075
27	371	12882
28	372	12462
29	373	12083
30	374	11709
31	375	11358
32	376	11031
33	377	10722
34	378	10430
35	383	10260
36	384	10001
37	385	9759
38	386	9526
39	387	9302
40	388	9089
41	389	8887
42	390	8690
43	391	8501
44	392	8321
45	393	8150
46	396	8036
47	401	7966
48	402	7816
49	403	7673
50	404	7533
51	405	7398
52	406	7268
53	407	7141
54	411	7071
55	414	6992
56	416	6893
57	417	6781
58	418	6672
59	419	6567
60	419	6465
61	420	6368
62	421	6273
63	422	6180
64	428	6164
65	430	6093
66	431	6011
67	432	5930
68	433	5851
69	434	5773
70	435	5697
71	436	5623
72	437	5550
73	437	5480
74	443	5469
75	445	5412
76	446	5355
77	447	5291
78	448	5228
79	449	5167
80	450	5107
81	450	5048
82	451	4987
83	452	4931
84	453	4877
85	459	4880
86	460	4831
87	461	4780
88	462	4732
89	463	4687
90	464	4643
91	465	4598
92	467	4554
93	468	4511
94	479	4566
95	480	4523
96	481	4482
97	482	4441
98	483	4400
99	490	4412
100	492	4380
101	493	4340
102	494	4302
103	495	4264
104	495	4227
105	496	4189
106	497	4152
107	498	4116
108	499	4081
109	504	4082
110	505	4049
111	506	4016
112	507	3984
113	508	3952
114	509	3922
115	510	3891
116	511	3859
117	512	3829
118	513	3800
119	514	3771
120	519	3775
121	522	3757
122	523	3730
123	524	3703
124	525	3676
125	526	3650
126	527	3622
127	528	3597
128	528	3571
129	533	3570
130	535	3549
131	536	3530
132	537	3505
133	538	3480
134	539	3457
135	540	3433
136	541	3410
137	542	3389
138	543	3368
139	546	3354
140	549	3345
141	549	3322
142	551	3303
143	552	3282
144	553	3261
145	554	3241
146	555	3221
147	556	3201
148	557	3184
149	558	3165
150	563	3167
151	565	3154
152	567	3141
153	569	3128
154	570	3109
155	571	3091
156	572	3072
157	573	3055
158	574	3037
159	581	3051
160	582	3033
161	583	3016
162	584	2999
163	585	2983
164	586	2967
165	587	2951
166	588	2933
167	589	2917
168	591	2909
169	596	2910
170	597	2896
171	598	2881
172	599	2866
173	600	2851
174	601	2836
175	602	2821
176	603	2805
177	608	2808
178	609	2795
179	611	2784
180	612	2770
181	613	2755
182	614	2741
183	614	2726
184	615	2712
185	616	2697
186	617	2684
187	618	2670
188	623	2674
189	624	2661
190	625	2648
191	626	2635
192	627	2625
193	630	2617
194	631	2606
195	632	2594
196	633	2583
197	641	2598
198	642	2587
199	644	2576
200	645	2564
201	646	2553
202	651	2556
203	653	2548
204	655	2543
205	657	2532
206	658	2521
207	659	2511
208	660	2501
209	661	2490
210	669	2504
211	671	2495
212	672	2486
213	674	2476
214	675	2466
215	676	2456
216	677	2445
217	684	2455
218	686	2448
219	687	2438
220	689	2429
221	690	2419
222	691	2410
223	693	2401
224	698	2406
225	699	2397
226	701	2388
227	702	2378
228	703	2368
229	704	2359
230	706	2350
231	707	2340
232	708	2331
233	716	2346
234	718	2337
235	719	2329
236	721	2321
237	722	2312
238	723	2303
239	729	2310
240	732	2308
241	734	2300
242	735	2292
243	737	2284
244	738	2275
245	743	2279
246	745	2271
247	746	2263
248	747	2253
249	748	2245
250	749	2236
251	750	2228
252	751	2219
253	752	2210
254	753	2201
255	754	2192
256	756	2188
257	758	2180
258	759	2171
259	760	2163
260	764	2165
261	766	2160
262	768	2153
263	769	2145
264	770	2136
265	771	2127
266	772	2119
267	772	2110
268	773	2102
269	774	2094
270	779	2096
271	780	2089
272	781	2082
273	782	2074
274	783	2066
275	784	2058
276	785	2051
277	786	2043
278	787	2035
279	788	2027
280	789	2020
281	790	2012
282	793	2009
283	794	2003
284	796	1997
285	797	1990
286	797	1982
287	799	1975
288	799	1968
289	800	1960
290	801	1953
291	802	1946
292	803	1939
293	809	1942
294	810	1935
295	811	1928
296	812	1922
297	813	1916
298	814	1909
299	815	1902
300	816	1896
301	817	1889
302	818	1883
303	824	1886
304	827	1885
305	828	1879
306	829	1872
307	831	1867
308	832	1861
309	833	1855
310	834	1848
311	841	1854
312	843	1850
313	844	1845
314	845	1838
315	846	1832
316	847	1825
317	848	1818
318	848	1812
319	849	1805
320	855	1810
321	856	1803
322	857	1797
323	858	1791
324	860	1786
325	861	1780
326	862	1774
327	862	1768
328	863	1761
329	864	1755
330	874	1768
331	876	1762
332	876	1756
333	877	1750
334	878	1744
335	879	1738
336	880	1732
337	884	1732
338	886	1727
339	887	1722
340	887	1716
341	888	1710
342	889	1704
343	890	1698
344	891	1692
